date,open,high,low,close,volume
2015-05-21,4768.689,4841.615,4746.029,4840.976,30505453700.0
2015-05-22,4895.925,4951.991,4870.598,4951.335,45584671800.0
2015-05-25,4949.11,5099.839,4949.11,5099.495,46573659000.0
2015-05-26,5140.798,5199.295,5063.146,5198.918,48794935900.0
2015-05-27,5216.17,5226.844,5126.861,5181.434,47079873000.0
2015-05-28,5174.101,5213.183,4831.329,4834.007,57182904700.0
2015-05-29,4839.53,4924.303,4665.521,4840.829,42787885900.0
2015-06-01,4862.756,5079.319,4835.774,5076.179,41750374100.0
2015-06-02,5091.272,5162.556,5047.081,5161.87,41297319600.0
2015-06-03,5176.597,5186.967,5059.495,5143.59,41425827000.0
2015-06-04,5156.012,5194.233,4863.465,5181.416,48276726800.0
2015-06-05,5254.905,5288.34,5104.178,5230.552,54596119600.0
2015-06-08,5259.408,5370.609,5202.595,5353.751,63731323700.0
2015-06-09,5379.47,5380.426,5251.208,5317.461,57042726300.0
2015-06-10,5254.304,5374.83,5209.68,5309.112,44216567600.0
2015-06-11,5305.141,5329.295,5248.163,5306.59,39233875500.0
2015-06-12,5329.278,5351.648,5283.086,5335.115,43013138600.0
2015-06-15,5354.014,5362.452,5207.308,5221.167,47574570300.0
2015-06-16,5165.025,5204.303,5015.265,5064.821,41167563800.0
2015-06-17,5072.306,5158.367,4949.293,5138.831,39712418700.0
2015-06-18,5107.695,5121.218,4926.429,4930.549,36439581400.0
2015-06-19,4847.057,4910.45,4634.691,4637.052,35810474400.0
2015-06-23,4641.425,4786.955,4455.33,4786.091,36508794400.0
2015-06-24,4811.595,4883.732,4744.306,4880.126,43463872300.0
2015-06-25,4906.242,4919.263,4667.224,4706.516,44613598200.0
2015-06-26,4573.872,4650.186,4278.675,4336.195,44663979000.0
2015-06-29,4446.842,4451.166,4000.926,4191.549,52566248200.0
2015-06-30,4161.067,4475.767,4016.013,4472.998,52704528000.0
2015-07-01,4408.984,4526.127,4235.696,4253.021,43172141100.0
2015-07-02,4287.734,4312.19,4000.061,4107.996,45706219400.0
2015-07-03,4017.202,4164.629,3785.902,3885.917,42930085000.0
2015-07-06,4218.266,4218.266,3832.468,3998.537,64809453000.0
2015-07-07,3877.854,3960.636,3743.624,3928.003,67938500700.0
2015-07-08,3651.06,3762.622,3612.254,3663.038,58146709700.0
2015-07-09,3621.68,3930.264,3537.826,3897.626,50387061000.0
2015-07-10,3916.272,4179.111,3887.551,4106.556,50070180200.0
2015-07-13,4132.231,4278.161,4072.43,4211.812,50209218600.0
2015-07-14,4178.63,4258.513,4062.5,4112.149,45442200900.0
2015-07-15,4068.88,4114.243,3899.508,3966.759,42195636700.0
2015-07-16,3949.639,4067.022,3856.321,3997.356,33053134500.0
2015-07-17,4023.757,4190.186,4000.231,4151.496,33110713100.0
2015-07-20,4157.06,4221.693,4106.389,4160.612,35267347200.0
2015-07-21,4109.761,4201.482,4081.704,4166.006,31837494500.0
2015-07-22,4148.56,4187.431,4094.712,4157.16,31894599700.0
2015-07-23,4158.932,4262.062,4148.824,4250.805,35447175900.0
2015-07-24,4255.198,4299.65,4154.617,4176.279,39204537300.0
2015-07-27,4097.796,4156.313,3817.169,3818.731,36505451100.0
2015-07-28,3690.974,3883.446,3627.421,3811.093,38352721600.0
2015-07-29,3839.959,3934.003,3769.189,3930.379,27697284500.0
2015-07-30,3915.78,3968.534,3802.882,3815.412,27154866500.0
2015-07-31,3777.155,3863.624,3757.989,3816.699,22237676700.0
2015-08-03,3766.072,3829.235,3742.578,3829.235,24580503000.0
2015-08-04,3827.373,3948.449,3801.028,3948.155,22023655600.0
2015-08-05,3937.623,3962.277,3858.66,3866.9,20048426900.0
2015-08-06,3802.928,3888.693,3793.237,3831.852,14727869400.0
2015-08-07,3866.43,3926.649,3857.908,3906.945,18334915300.0
2015-08-10,3947.472,4101.731,3932.842,4084.365,30678054000.0
2015-08-11,4083.589,4110.133,4042.004,4066.669,32203419100.0
2015-08-12,4025.674,4078.03,4015.355,4016.126,25514619600.0
2015-08-13,4010.013,4075.7,3967.821,4075.463,24283697900.0
2015-08-14,4097.918,4113.159,4056.727,4073.54,25339299600.0
2015-08-17,4058.113,4081.772,4009.99,4077.872,25693963800.0
2015-08-18,4084.311,4103.054,3816.554,3825.412,31988107000.0
2015-08-19,3748.266,3898.74,3668.192,3886.136,26904983900.0
2015-08-20,3848.403,3880.824,3761.454,3761.454,21216796500.0
2015-08-21,3714.289,3757.779,3578.175,3589.536,21798640300.0
2015-08-24,3454.598,3468.149,3266.55,3275.534,25543665200.0
